ts,mid,bid_size,ask_size
2020-01-01 00:00:00+00:00,100.003983779023,381.0,257.0
2020-01-01 00:00:02+00:00,100.00335220601251,243.0,386.0
2020-01-01 00:00:04+00:00,99.98945083247628,111.0,102.0
2020-01-01 00:00:06+00:00,100.02009047850801,351.0,99.0
2020-01-01 00:00:08+00:00,99.99283750062612,248.0,101.0
2020-01-01 00:00:10+00:00,100.00379183160446,375.0,89.0
2020-01-01 00:00:12+00:00,100.00416739081966,350.0,341.0
2020-01-01 00:00:14+00:00,100.00896008128102,149.0,333.0
2020-01-01 00:00:16+00:00,100.00892609249915,62.0,239.0
2020-01-01 00:00:18+00:00,100.01334281600697,250.0,205.0
2020-01-01 00:00:20+00:00,100.02657339236491,392.0,266.0
2020-01-01 00:00:22+00:00,100.01497906557938,76.0,318.0
2020-01-01 00:00:24+00:00,100.00586581248233,199.0,52.0
2020-01-01 00:00:26+00:00,100.0123647486704,268.0,179.0
2020-01-01 00:00:28+00:00,100.01230142862511,297.0,73.0
2020-01-01 00:00:30+00:00,100.01951043050151,272.0,250.0
2020-01-01 00:00:32+00:00,99.99814925137989,323.0,355.0
2020-01-01 00:00:34+00:00,99.99225452627655,138.0,230.0
2020-01-01 00:00:36+00:00,99.99670552706318,180.0,169.0
2020-01-01 00:00:38+00:00,100.00388433273915,138.0,169.0
2020-01-01 00:00:40+00:00,99.99094571343487,343.0,53.0
2020-01-01 00:00:42+00:00,100.00719503986713,226.0,99.0
2020-01-01 00:00:44+00:00,99.9928169695665,93.0,370.0
2020-01-01 00:00:46+00:00,99.96366838604038,363.0,152.0
2020-01-01 00:00:48+00:00,99.99496838384616,204.0,75.0
2020-01-01 00:00:50+00:00,99.99541867856495,235.0,275.0
2020-01-01 00:00:52+00:00,99.95588543917519,70.0,225.0
2020-01-01 00:00:54+00:00,99.96676553506614,139.0,166.0
2020-01-01 00:00:56+00:00,99.99217505051382,370.0,374.0
2020-01-01 00:00:58+00:00,99.97416753518269,118.0,127.0
2020-01-01 00:01:00+00:00,99.9803929254348,274.0,192.0
2020-01-01 00:01:02+00:00,99.99930139425156,281.0,50.0
2020-01-01 00:01:04+00:00,99.99719973567693,59.0,85.0
2020-01-01 00:01:06+00:00,99.99335430425648,161.0,159.0
2020-01-01 00:01:08+00:00,99.9894137359882,393.0,230.0
2020-01-01 00:01:10+00:00,100.01407688569395,147.0,365.0
2020-01-01 00:01:12+00:00,100.01594020026776,352.0,287.0
2020-01-01 00:01:14+00:00,100.02678182279374,193.0,53.0
2020-01-01 00:01:16+00:00,100.01882118263521,381.0,341.0
2020-01-01 00:01:18+00:00,100.02443442340767,238.0,69.0
2020-01-01 00:01:20+00:00,100.00558951591553,164.0,87.0
2020-01-01 00:01:22+00:00,100.01367191205576,118.0,270.0
2020-01-01 00:01:24+00:00,99.99078012196978,238.0,308.0
2020-01-01 00:01:26+00:00,99.99637646345626,123.0,109.0
2020-01-01 00:01:28+00:00,100.01148350211395,254.0,188.0
2020-01-01 00:01:30+00:00,100.01798600444728,136.0,260.0
2020-01-01 00:01:32+00:00,99.99442023424007,242.0,157.0
2020-01-01 00:01:34+00:00,100.01507633086563,159.0,141.0
2020-01-01 00:01:36+00:00,100.01225337027513,140.0,342.0
2020-01-01 00:01:38+00:00,100.01245328656543,168.0,254.0
2020-01-01 00:01:40+00:00,100.0089853201838,164.0,325.0
2020-01-01 00:01:42+00:00,100.01063013303789,300.0,329.0
2020-01-01 00:01:44+00:00,100.02694359924915,307.0,182.0
2020-01-01 00:01:46+00:00,100.03864985137014,325.0,258.0
2020-01-01 00:01:48+00:00,100.02513857500524,109.0,73.0
2020-01-01 00:01:50+00:00,100.04469668243371,360.0,310.0
2020-01-01 00:01:52+00:00,100.04436410045204,128.0,125.0
2020-01-01 00:01:54+00:00,100.04154516092969,71.0,99.0
2020-01-01 00:01:56+00:00,100.03530438039743,362.0,176.0
2020-01-01 00:01:58+00:00,100.06194958600159,243.0,387.0
2020-01-01 00:02:00+00:00,100.03805633163306,189.0,242.0
2020-01-01 00:02:02+00:00,100.01855104271556,137.0,148.0
2020-01-01 00:02:04+00:00,100.04041609569333,157.0,371.0
2020-01-01 00:02:06+00:00,100.02652091120672,106.0,240.0
2020-01-01 00:02:08+00:00,100.0298820746845,118.0,135.0
2020-01-01 00:02:10+00:00,100.02572181800464,345.0,348.0
2020-01-01 00:02:12+00:00,100.0327571370687,171.0,333.0
2020-01-01 00:02:14+00:00,100.05118911838458,393.0,394.0
2020-01-01 00:02:16+00:00,100.05071931844202,260.0,153.0
2020-01-01 00:02:18+00:00,100.04883158989372,324.0,193.0
2020-01-01 00:02:20+00:00,100.04365596211494,51.0,103.0
2020-01-01 00:02:22+00:00,100.04575688264794,57.0,275.0
2020-01-01 00:02:24+00:00,100.04316688940732,121.0,80.0
2020-01-01 00:02:26+00:00,100.06776944413193,340.0,155.0
2020-01-01 00:02:28+00:00,100.06735924097222,360.0,224.0
2020-01-01 00:02:30+00:00,100.06947365546533,59.0,251.0
2020-01-01 00:02:32+00:00,100.0469346880933,191.0,241.0
2020-01-01 00:02:34+00:00,100.04025127342965,134.0,311.0
2020-01-01 00:02:36+00:00,100.04792026343169,109.0,228.0
2020-01-01 00:02:38+00:00,100.04839365261368,283.0,96.0
2020-01-01 00:02:40+00:00,100.04642014716086,273.0,344.0
2020-01-01 00:02:42+00:00,100.02479995464563,175.0,157.0
2020-01-01 00:02:44+00:00,100.04749586218962,248.0,254.0
2020-01-01 00:02:46+00:00,100.05456643286097,171.0,101.0
2020-01-01 00:02:48+00:00,100.05790137466285,251.0,323.0
2020-01-01 00:02:50+00:00,100.03929624490098,248.0,395.0
2020-01-01 00:02:52+00:00,100.04817196196981,343.0,259.0
2020-01-01 00:02:54+00:00,100.07389939934886,377.0,167.0
2020-01-01 00:02:56+00:00,100.06589013635197,78.0,178.0
2020-01-01 00:02:58+00:00,100.05955933638698,131.0,259.0
2020-01-01 00:03:00+00:00,100.05035070250177,366.0,252.0
2020-01-01 00:03:02+00:00,100.06792715661871,184.0,344.0
2020-01-01 00:03:04+00:00,100.05322240927606,326.0,272.0
2020-01-01 00:03:06+00:00,100.06408901107362,156.0,318.0
2020-01-01 00:03:08+00:00,100.04732687851782,219.0,259.0
2020-01-01 00:03:10+00:00,100.04750079317778,119.0,279.0
2020-01-01 00:03:12+00:00,100.05172667618793,353.0,194.0
2020-01-01 00:03:14+00:00,100.0665494478537,92.0,220.0
2020-01-01 00:03:16+00:00,100.06768904946891,225.0,301.0
2020-01-01 00:03:18+00:00,100.07264391989281,285.0,351.0
2020-01-01 00:03:20+00:00,100.06241130311795,104.0,282.0
2020-01-01 00:03:22+00:00,100.06378078758223,305.0,217.0
2020-01-01 00:03:24+00:00,100.07983793333999,86.0,102.0
2020-01-01 00:03:26+00:00,100.04951406588968,123.0,281.0
2020-01-01 00:03:28+00:00,100.04714624976387,57.0,243.0
2020-01-01 00:03:30+00:00,100.04174747787825,229.0,172.0
2020-01-01 00:03:32+00:00,100.067424703973,278.0,263.0
2020-01-01 00:03:34+00:00,100.07051609627588,379.0,148.0
2020-01-01 00:03:36+00:00,100.07161036347216,271.0,146.0
2020-01-01 00:03:38+00:00,100.06890429386054,168.0,383.0
2020-01-01 00:03:40+00:00,100.05122197592888,290.0,280.0
2020-01-01 00:03:42+00:00,100.06462395300476,213.0,65.0
2020-01-01 00:03:44+00:00,100.05604045000895,133.0,73.0
2020-01-01 00:03:46+00:00,100.05336535946259,256.0,263.0
2020-01-01 00:03:48+00:00,100.0470451976829,78.0,61.0
2020-01-01 00:03:50+00:00,100.05465281690361,73.0,159.0
2020-01-01 00:03:52+00:00,100.0456419153504,391.0,294.0
2020-01-01 00:03:54+00:00,100.05797744320652,334.0,292.0
2020-01-01 00:03:56+00:00,100.0574476065739,278.0,254.0
2020-01-01 00:03:58+00:00,100.07244425546017,251.0,330.0
2020-01-01 00:04:00+00:00,100.04362162893285,291.0,83.0
2020-01-01 00:04:02+00:00,100.05298081695804,238.0,223.0
2020-01-01 00:04:04+00:00,100.04858175027537,242.0,348.0
2020-01-01 00:04:06+00:00,100.03588521982309,328.0,274.0
2020-01-01 00:04:08+00:00,100.03323448712796,359.0,352.0
2020-01-01 00:04:10+00:00,100.02375454839716,271.0,235.0
2020-01-01 00:04:12+00:00,100.00372296994605,147.0,199.0
2020-01-01 00:04:14+00:00,99.98989824195054,193.0,214.0
2020-01-01 00:04:16+00:00,100.00514371827981,153.0,66.0
2020-01-01 00:04:18+00:00,99.99015693829867,204.0,117.0
2020-01-01 00:04:20+00:00,99.99999074376953,143.0,228.0
